product_id,stock_on_hand
HAC0001-ALC-OS,1
HAC0001-BPS-OS,1
HAC0001-MSP-OS,1
HAC0051-CVI-OS,5
HAC0051-CVS-OS,5
HAC0053-THN-OS,5
HAC0060-HCB-OS,5
HAC0061-HCB-OS,5
HAC0080-ALC-OS,5
HAC0081-ALC-OS,5
HAC0081-ARV-OS,5
HAC0081-TWG-OS,1
HAC0083-GDS-OS,5
HAC0085-PCM-OS,3
HAU1901-RBL-OS,1
HAU1902-BLU-OS,2
HAU1903-ORG-OS,3
HAU2003-BLU-OS,5
KAC0080-TWG-OS,5
KBS2003-WHW-10,4
KKU2100-DPA-10,4
KKU2100-DPA-12-18,9
KKU2100-DPA-2,6
KKU2100-DPA-4,12
KKU2100-DPA-6,12
KKU2100-DPA-8,5
KKU2100-TPA-10,2
KKU2100-TPA-12-18,6
KKU2100-TPA-2,10
KKU2100-TPA-4,6
KKU2100-TPA-6,9
KKU2100-TPA-8,5
KSS2001-SSR-8,1
KYS2001-NSS-2,6
KYS2001-NSS-4,4
KYS2001-NSS-6,1
MAC0009-NVY-32,2
MAC0009-NVY-34,1
MAC0009-NVY-36,1
MAC0014-OYB-32,1
MAC0014-OYB-34,1
MAC0014-OYB-36,1
MAC0014-OYB-38,1
MAH2102-SDT-L/XL,1
MAT1637-NAV-OS,1
MAT1708-BLR-38,1
MAU2103-NVY-OS,5
MBC0001-NVY-33,1
MBC0004-FOL-29,1
MBC0004-SLT-40,1
MBC0100-NVY-31,1
MBC0100-NVY-32,2
MBC0100-NVY-33,2
MBC0100-NVY-34,2
MBC0100-NVY-35,1
MBC0100-NVY-36,2
MBC0100-NVY-40,1
MBC0300-STN-28,3
MBC0300-STN-29,3
MBC0300-STN-36,2
MBC0300-STN-38,4
MBC0300-STN-40,3
MBC0300-STN-42,2
MBS2105-COS-M,1
MBS2105-COS-S,1
MBS2105-COS-XXL,2
MBS2106-FDK-28,1
MBS2106-FDK-29,1
MBS2106-FDK-30,2
MBS2106-FDK-31,1
MBS2106-FDK-32,3
MBS2106-FDK-35,5
MBS2106-FDK-36,4
MBS2106-FDK-40,2
MBS2106-FDK-42,1
MBS2111-EBR-L,1
MBS2111-EBR-XL,1
MFC0001-BDN-11.5,1
MFC0001-BDN-9,1
MKC0006-FMS-L,2
MKC0006-GNI-XL,2
MKC0006-GNI-XXL,2
MKC0016-BAP-M,6
MKC0016-BAP-S,2
MKC0016-BAP-XL,2
MKC0016-BAP-XS,1
MKC0016-BAP-XXL,2
MKC0020-HMR-XS,2
MKC0020-WHT-XS,2
MKC0034-CCL-XL,1
MKC0034-CCL-XXL,3
MKC0042-WHT-M,1
MKC0042-WHT-S,3
MKC0042-WHT-XL,1
MKC0042-WHT-XS,1
MKC0042-WHT-XXL,4
MKC0101-OMT-XXL,2
MKH1701-GFS-L,1
MKH1707-HGR-XL,1
MKS1856-NVY-L,7
MKS1856-NVY-M,5
MKS2041-FIS-M,2
MKS2041-FIS-S,3
MKS2106-WBK-L,5
MKS2106-WBK-M,4
MKS2106-WBK-S,2
MKS2106-WBK-XL,2
MKS2106-WBK-XS,1
MKS2106-WBK-XXL,1
MKS2112-SOO-L,2
MKS2114-PDS-M,1
MKS2114-PDS-S,1
MKS2114-PDS-XS,1
MKS2114-PDS-XXL,2
MKS2115-CDB-L,1
