product_id,stock_on_hand
MAC0001-CCL-OS,5
MAC0001-OLV-OS,5
MAC0030-NVY-OS,3
MAC0030-TIM-OS,4
MAC0081-DBH-OS,5
MAC0081-OHT-OS,5
MAC0081-WHH-OS,5
MBC0040-MGR-L,8
MBC0040-MGR-M,6
MBC0040-MGR-S,2
MBC0040-MGR-XL,3
MBC0040-MGR-XS,1
MBC0040-MGR-XXL,1
MBC0040-WBK-L,5
MBC0040-WBK-M,4
MBC0040-WBK-S,2
MBC0040-WBK-XL,2
MBC0040-WBK-XS,1
MBC0040-WBK-XXL,1
MBC0042-FOS-29,1
MBC0042-FOS-30,1
MBC0042-FOS-31,2
MBC0042-FOS-32,3
MBC0042-FOS-33,4
MBC0042-FOS-34,4
MBC0042-FOS-35,3
MBC0042-FOS-36,2
MBC0042-FOS-38,1
MBC0042-LSD-29,1
MBC0042-LSD-30,1
MBC0042-LSD-31,2
MBC0042-LSD-32,3
MBC0042-LSD-33,4
MBC0042-LSD-34,4
MBC0042-LSD-35,3
MBC0042-LSD-36,2
MBC0042-LSD-38,1
MBC0042-NVY-29,1
MBC0042-NVY-30,1
MBC0042-NVY-31,2
MBC0042-NVY-32,3
MBC0042-NVY-33,4
MBC0042-NVY-34,4
MBC0042-NVY-35,3
MBC0042-NVY-36,2
MBC0042-NVY-38,1
MBC0060-FGT-L,5
MBC0060-FGT-M,4
MBC0060-FGT-S,1
MBC0060-FGT-XL,1
MBC0060-HBT-L,5
MBC0060-HBT-M,4
MBC0060-HBT-S,1
MBC0060-HBT-XL,2
MKC0077-CCH-L,5
MKC0077-CCH-M,4
MKC0077-CCH-S,1
MKC0077-CCH-XL,3
MKC0077-CCH-XS,1
MKC0077-CCH-XXL,1
MKC0077-FFH-L,4
MKC0077-FFH-M,4
MKC0077-FFH-S,1
MKC0077-FFH-XL,2
MKC0077-FFH-XS,1
MKC0077-FFH-XXL,1
MKC0077-IVH-L,5
MKC0077-IVH-M,4
MKC0077-IVH-S,1
MKC0077-IVH-XL,3
MKC0077-IVH-XS,1
MKC0077-IVH-XXL,1
MKC0077-LIH-XS,1
MKC0077-LIH-L,5
MKC0077-LIH-M,4
MKC0077-LIH-S,1
MKC0077-LIH-XL,3
MKC0077-LIH-XXL,1
MKC0077-NVH-L,4
MKC0077-NVH-M,4
MKC0077-NVH-S,1
MKC0077-NVH-XL,2
MKC0077-NVH-XS,1
MKC0077-NVH-XXL,1
MKC0086-BLN-L,6
MKC0086-BLN-M,5
MKC0086-BLN-S,2
MKC0086-BLN-XL,3
MKC0086-BLN-XS,1
MKC0086-BLN-XXL,1
MKC0086-MDW-L,6
MKC0086-MDW-M,5
MKC0086-MDW-S,2
MKC0086-MDW-XL,3
MKC0086-MDW-XS,1
MKC0086-MDW-XXL,1
MKC0086-WBK-L,6
MKC0086-WBK-M,5
MKC0086-WBK-S,2
MKC0086-WBK-XL,3
MKC0086-WBK-XS,1
MKC0086-WBK-XXL,1
MKC0086-WHT-L,6
MKC0086-WHT-M,5
MKC0086-WHT-S,2
MKC0086-WHT-XL,3
MKC0086-WHT-XS,1
MKC0086-WHT-XXL,1
MKC0089-FDF-L,3
MKC0089-FDF-M,4
MKC0089-FDF-XL,2
MKC0089-FDF-XS,1
MKC0089-FDF-XXL,1
MKC0089-JAD-L,3
MKC0089-JAD-M,4
MKC0089-JAD-XL,2
MKC0089-JAD-XS,1
MKC0089-JAD-XXL,1
MKC0089-NVY-L,4
MKC0089-NVY-M,3
MKC0089-NVY-S,1
MKC0089-NVY-XL,2
